1000,8726,8663,0,0
1206,11019,10865,8155,4857
1456,13555,13474,0,11183
1757,16762,16717,9056,0
2120,20964,20795,11083,1110
2559,26090,25851,0,10831
3088,31965,31935,11307,10960
3727,39729,39570,11386,22211
4498,49408,49026,21796,33955
5428,60795,60474,25248,33730
6551,74981,74939,31971,42342
7906,92928,92491,29672,49739
9540,115048,114192,59814,94081
11513,141501,140982,143700,105843
13894,174174,173741,178219,162277
16768,215240,214095,211219,211465
20235,266277,264188,311925,273882
24420,325661,325552,359201,455453
29470,401858,400593,635112,672305
35564,495688,492879,858567,940472
42919,610829,607282,1304084,1398970
51794,746925,746205,1903087,1930984
62505,920164,917097,2603297,2850544
75431,1134778,1127866,5991239,6459710
91029,1390891,1387021,12646634,12932969
109854,1705464,1702693,22621478,24269070
132571,2096856,2088297,36163076,39460138
159985,2583569,2567168,200527070,62966862
193069,3151852,3149764,92072798,93738566
232995,3871603,3862790,278664549,153273296
281176,4759417,4737403,250528152,212983288
