V,matrix,list
1000,40607200,29864900
1100,55883100,39765500
1200,54299000,56729300
1300,52825800,48941400
1400,82892100,67986600
1500,80069900,75021600
1600,69357100,66513200
1700,78587500,69790900
1800,100593000,83216200
1900,117441300,112709400
2000,132222000,143597200
2100,127164200,141600800
2200,165526800,185207400
2300,148976800,186450400
2400,195622900,153276800
2500,199568500,179717200
2600,233043700,234679500
2700,241899500,233714700
2800,267823200,232048600
2900,257859000,265806600
3000,325952600,275493200
3100,284622800,301963600
3200,366915600,302102700
3300,373762400,355384600
3400,393038000,381712600
3500,408329000,370443000
3600,426874000,390468400
3700,440750700,392732100
3800,500551200,452559700
3900,534889800,464028700
4000,520844200,496044400
4100,569782400,528652400
4200,592253700,548997600
4300,638672700,531012700
4400,640008100,570341000
4500,638239000,579667300
4600,747866200,616371700
4700,749969600,644542000
4800,786604100,702044900
4900,833885400,727363600
5000,854542900,770544600
5100,911660800,786647200
5200,912591600,835743500
5300,926381600,811896500
5400,1009513700,876711700
5500,1053990700,921226600
5600,1071591000,921181100
5700,1155527300,952802800
5800,1203540500,1229608000
5900,1335609700,1396189100
6000,1355737900,1182652000
6100,1332846500,1150960000
6200,1377803500,1171537000
6300,1412197600,1367276400
6400,1487436400,1233185300
6500,1440407200,1330259900
6600,1611525100,1495346800
6700,1862915800,1940964700
6800,1662981200,1484284100
6900,1719134700,1480655100
7000,1769692800,1573508200
7100,1732197200,1626253200
7200,1904470000,1602764100
7300,1879210000,1719741800
7400,1952348500,1691912200
7500,2042798500,1819710100
7600,1980340800,1919980900
7700,-2042327296,2079907600
7800,-2128156496,1948146400
7900,-2097368296,1894360900
8000,-2095620196,1998823700
8100,-1935822696,2073968300
8200,-1779239996,-2094170896
8300,-1754105296,-2015963096
8400,-1758674196,-1961663196
8500,-1605802696,-1894793396
8600,-1548883696,-1972619796
8700,-1536480196,-1830661996
8800,-1570132596,-2007200696
8900,-1244882596,-1562146496
9000,-1264075496,-1683994896
9100,-1322240496,-1627018096
9200,-1213288296,-1586555296
9300,-1174972496,-1484437196
9400,-1187997896,-1455757396
9500,-1038809796,-1312020996
9600,-899359196,-1288400196
9700,-863240696,-1179258796
9800,-883583096,-1067075696
9900,-736590396,-889249096
10000,-554151096,-792553896
10100,-476132596,-845822996
10200,-293467296,-529658996
10300,-223281196,-509457396
10400,-46719396,-512140496
10500,-101192496,-649798296
10600,91913504,-456611496
10700,299953004,-421642396
10800,95893904,-232993296
10900,382700904,-62149996
11000,430229804,-10532796
11100,522203504,107744404
11200,286268204,23904104
11300,683472804,199421504
11400,687112004,289337504
11500,1125867304,543913004
11600,1383847704,783501204
11700,1133425904,732078704
11800,1144761104,853603004
11900,1403825404,1084239304
12000,2052685904,1015895404
12100,-2083173992,1362784904
12200,2112584004,1534240004
12300,-2045611892,2121505604
12400,-2056856392,-1946288892
12500,-2125854792,1834796804
12600,-2141231692,1986911904
12700,-2009683892,-2089641292
12800,2060630504,1621337604
12900,1828363904,-2126146992
13000,2078049204,1602352304
13100,-2140584492,1823710204
13200,-2064603092,2100733004
13300,-1805904892,-1597129992
13400,-1729690492,-1980098992
13500,-1696136992,-1910567192
13600,-1417236692,-1099370592
13700,-1245037392,-1612454992
13800,-958776292,-1301088092
13900,-1002496992,-1198900692
14000,-713374392,-960242492
14100,-387993792,-627625892
14200,-484074992,-649084392
14300,-726329592,-788343392
14400
