V,matrix,list
150,8109400,1531000
200,4696100,2028200
250,2533800,2024000
300,4220500,6101300
350,7368100,5674400
400,5045200,5885000
450,7148000,6055200
500,10525500,9657400
550,21005100,30038100
600,15650000,12045800
650,28338600,21856800
700,22220300,16038300
750,15830200,16570000
800,17903700,29336800
850,24179000,26567400
900,26488400,46760000
950,24928400,25410800
1000,37887900,31957200
1050,47523400,49122000
1100,56798900,40597000
1150,56160800,39608800
1200,63539200,53030200
1250,63933500,42689200
1300,58335000,60439300
1350,65161100,64915300
1400,60286500,60839600
1450,61499700,62968800
1500,102872900,80403400
1550,93257700,110326600
1600,89427300,80630400
1650,101582200,89642400
1700,95701000,88542400
1750,91182000,118791100
1800,101106200,134159500
1850,146622700,117028200
1900,139127400,139272400
1950,131644100,88120400
2000,148437100,118154000
200,1449000,3119800
250,2514900,3026100
300,2815900,3029600
350,3079200,5789100
400,4946000,13071100
450,9726900,14469500
500,8912700,9112000
550,14766200,14262500
600,23863000,14178100
650,11250000,19502400
700,15068600,24316200
750,26564800,26038600
800,24401100,32445800
850,26524000,33711100
900,30208500,45401400
950,52299000,39600000
1000,40363200,49496300
1050,58659300,52076500
1100,50239200,57778400
1150,47643300,70787800
1200,77240400,77619700
1250,40918200,43001500
1300,53385300,75344200
1350,94426900,54538300
1400,80701200,83079500
1450,67548100,76134300
1500,72646200,87047800
1550,80150200,56817500
1600,89202100,101810200
1650,83313300,104955300
1700,83064200,90949300
1750,93157000,115489300
1800,108229500,102494000
1850,109062400,134098300
1900,107034700,142715900
1950,161281700,134454700
2000,140796800,112432100
2050,131645900,133000000
2100,156809700,137897000
2150,161626700,144265300
2200,162671000,124262000
2250,148296700,164029100
2300,168182200,167585800
2350,173928700,150916300
2400,230775700,169938800
2450,228134800,181200200
2500,212332800,186808900
2550,216438600,162981600
2600,238740500,213808200
2650,323228900,261531100
2700,238936500,207301200
2750,220630300,210568500
2800,279057800,214966700
2850,283622700,202845900
2900,304692600,265208100
2950,274213600,228677400
3000,283043400,253432100
3050,354952000,291857700
3100,345622800,258472100
3150,319413100,294674100
3200,323781400,300775500
3250,358241100,400247200
3300,361628300,400867600
3350,348041000,338639400
3400,349020300,335088800
3450,384418100,332888600
3500,388435300,396666600
3550,376013600,336867100
3600,421097000,347745600
3650,410270300,374597600
3700,410479600,418987600
3750,438434400,384505100
3800,438363500,390901100
3850,450522800,453157600
3900,476330400,423838500
3950,502080300,488540700
4000,515786800,432378800
4050,524084500,506252700
4100,602610600,492229600
4150,600966600,487884900
4200,591718300,463231100
4250,589703600,522349400
4300,613931800,542652100
4350,599609500,542261000
4400,620179400,527322400
4450,654572200,554496000
4500,660755500,599393700
4550,663489900,578436300
4600,659063600,604653700
4650,772155200,676182900
4700,729269300,641678500
4750,712860000,664768600
4800,769375100,663756300
4850,789818300,637329500
4900,772953500,689653500
4950,842194500,698676400
5000,724776500,681529100
