edges,d1,d2
100,71925,779
200,83704,1921
300,80294,2397
400,75112,1203
500,74194,2024
600,76180,1634
700,77794,1330
800,81414,296
900,80101,4649
1000,75492,5632
1100,76392,2807
1200,79910,7262
1300,80745,4684
1400,79121,2527
1500,77867,6936
1600,81664,10317
1700,82498,15705
1800,87144,6927
1900,81947,8593
2000,81379,3674
2100,79934,2882
2200,77448,4831
2300,82649,1400
2400,77690,4072
2500,85840,7999
2600,83851,6105
2700,87110,9073
2800,83163,8441
2900,81958,9013
3000,79043,10883
3100,80095,15421
3200,78644,11048
3300,83413,8922
3400,87090,16335
3500,76193,18510
3600,75580,19460
3700,76969,14462
3800,74633,16025
3900,76503,20143
4000,78541,21601
4100,73196,16304
4200,79108,20783
4300,73662,22038
4400,72120,12721
4500,74760,24736
4600,75443,14934
4700,75909,23765
4800,76623,21647
4900,78111,31447
5000,75072,28033
5100,77888,29064
5200,74315,28928
5300,70095,33481
5400,76636,26296
5500,76390,30006
5600,73871,31306
5700,77463,29971
5800,76971,32975
5900,75466,32920
6000,76330,34838
6100,77766,31480
6200,81078,28015
6300,76300,32530
6400,80824,33728
6500,75048,26532
6600,74966,21994
6700,74099,9075
6800,77133,7354
6900,76708,13306
7000,78128,20198
7100,76328,20893
7200,76762,29456
7300,78873,10745
7400,81550,25919
7500,78795,31570
7600,75620,24621
7700,77230,8367
7800,75672,7653
7900,77291,7849
8000,76194,30470
8100,81481,23454
8200,78178,11915
8300,74994,14889
8400,78560,27425
8500,75404,24931
8600,77809,22665
8700,78967,28819
8800,76876,23231
8900,76551,16867
9000,76549,16788
9100,78826,23883
9200,81113,35916
9300,77507,30064
9400,76880,25994
9500,74670,37690
9600,79066,36805
9700,76142,23965
9800,75301,14249
9900,77267,16454
10000,74065,27561
10100,78141,27438
10200,75785,28376
10300,77447,21723
10400,74332,35859
10500,77488,41428
10600,75621,33619
10700,77239,39197
10800,74645,43383
10900,80132,40488
11000,76894,37704
11100,71958,42546
11200,95741,51392
11300,105946,54991
11400,79751,41056
11500,82491,43184
11600,79541,43060
11700,100117,62401
11800,109272,63111
11900,99112,39375
12000,102421,39983
12100,100029,35249
12200,145762,65303
12300,283259,149165
12400,152787,77576
12500,102195,45849
12600,88035,45067
12700,85014,49827
12800,86137,54549
12900,84918,54625
13000,75558,46936
13100,80927,46894
13200,78708,30708
13300,80316,44694
13400,85116,48528
13500,85388,56374
13600,81500,57954
13700,76893,39490
13800,75097,31991
13900,76988,37798
14000,77582,36996
14100,77068,44576
14200,75432,46530
14300,81027,40330
14400,76713,37745
14500,77660,39403
14600,79119,46432
14700,76956,44855
14800,77849,45292
